id,date,action,amount,coin,domain
"hHU1cCNJbbbFXvOkRXVw35h2K4F8YZqJ","2025-12-18 02:43:04","renewTLD","","","yourbestbud"
"3mclmIOzDgzIXAQZ245tcIxuz2bPih6k","2025-12-18 02:43:04","renewTLD","","","justgoodthings"
"0OQAcBJ2BmJTjLIlw6GfzodZcg8wIsMU","2025-12-18 02:43:04","renewTLD","","","xn--9dbr0a"
"2t9W6BN4c5PhlHQvVDvC6eUOjO7TOQOK","2025-12-18 02:43:04","renewTLD","","","xn--5gqr5yss2a"
"obcsQe7NyWQeCodOcv2DkgCtEynDbK51","2025-12-18 02:43:04","renewTLD","","","raisedefi"
"dOwJYdLcEhXg6gPbGtXGCAtqIwIuNTDU","2025-12-18 02:43:04","renewTLD","","","lookinmypc"
"qd4s8T3ITNPga5lv5nwhSp6K2hV4KN3r","2025-12-18 02:43:04","renewTLD","","","bestdealtoday"
"mCYtvKIUbZOyg2po50YH8SG9gRqXt04h","2025-12-18 02:43:04","renewTLD","","","xn--fiq92vjza28m9wtsyo"
"USjDB9zokNV7LtIKaKblQ3ibxAQGnGNX","2025-12-18 02:43:03","renewTLD","","","xn--g23a"
"LPHKwyi2Y60hJuA76i6bHR5BpYXRZwnC","2025-12-18 02:43:03","renewTLD","","","conefrens"
"kaBscHdQ0yTmE6b3kGpgQfeXwazCniO9","2025-12-18 02:43:03","renewTLD","","","xn--4qsveow"
"a0iNyVg57K5TqHbR3yB63yJZSGYPfQ6f","2025-12-18 02:43:03","renewTLD","","","futurepack"
"t5CF3uHrHoTFO4FiGdASZ6yQU7vjQhvE","2025-12-18 02:43:03","renewTLD","","","xn--4gqu4ltz1b"
"8oxaZ2CagtRWYTb2YeVXneFCqlQiH2En","2025-12-18 02:43:03","renewTLD","","","reusedefi"
"g3n4YSDWi88RrVZsBTOEbfZmXl30eCxb","2025-12-18 02:43:03","renewTLD","","","bligation"
"QjjELUBzZSy2YCEzbXQLSH1OAawZcnrh","2025-12-18 02:43:03","renewTLD","","","xn--lcy850f"
"pYS7Gq8HUgKZ8DGUEsYitRZW4sDDiKyc","2025-12-18 02:43:03","renewTLD","","","healersathome"
"6C8JNw1aeYO6q1sves3FEeGj9RLxVzkS","2025-12-18 02:43:03","renewTLD","","","deficalendar"
"DQGrzwqvUGUy08MwUw6aUfR0w3z8IsWd","2025-12-18 02:43:03","renewTLD","","","xn--yvhej"
"ScPvUXh9ncXMnklHU1l70VoG72kiJCco","2025-12-18 02:43:03","renewTLD","","","dwebshare"
"I4bbxzd0BscDYxnYdPh18A9KavQHKxsR","2025-12-18 02:43:03","renewTLD","","","onebadday"
"YC9AXNSFGktnB2rwtk2hUgoBqRY2zEsW","2025-12-18 02:43:03","renewTLD","","","craftgenius"
"AHYoMr6w9WSrypv7CgcgCna6QgjvX0mj","2025-12-18 02:43:03","renewTLD","","","xn--zz-dh3c"
"gDUIalebZgeGCkD5aAvOdDOdmA9moPpt","2025-12-18 02:43:03","renewTLD","","","yourfortune"
"BLlSLIc0wTKhyGRKsTmWBjwWwiZLRl4E","2025-12-18 02:43:03","renewTLD","","","cryptoruin"
"hn8xhQUuWgwnNRS6E8ZVq6rsPhKm5Vdw","2025-12-18 02:43:03","renewTLD","","","cryptotwist"
"hwETrCmrXjhivlAU3rsu5kcipkHB4LCj","2025-12-18 02:43:03","renewTLD","","","toxinfo"
"ZLXVpZhooCiu0Kj3WBrd7MLlay8TODs1","2025-12-18 02:43:03","renewTLD","","","xn--dvso25e"
"zkO0AXuowgZzy5MrQvP756MzhgwkXqKr","2025-12-18 02:43:03","renewTLD","","","xn--uxqy9saa"
"ttnSTlN6DqzE8286yOUrzI5VeZGIFdiy","2025-12-18 02:43:03","renewTLD","","","certech"
"PsFA48trS3lwd6ZLXAeIbMdrHTmpiEgb","2025-12-18 02:43:03","renewTLD","","","xn--3bs63j2w3c"
"WGdXqUTxUBUbWekF5snsbTKQSKV5bat7","2025-12-18 02:43:03","renewTLD","","","dslrtripod"
"9BoQohaNCYB6FI0xqSEu1BkD5U432kiv","2025-12-18 02:43:03","renewTLD","","","bboying"
"y45BfkztNCsBw1ANfFlUmQbDagdZoQBF","2025-12-18 02:43:03","renewTLD","","","tao-yin"
"aTaoSbEuv1qiRWM2uJ0DYZt095EdZCwX","2025-12-18 02:43:03","renewTLD","","","v101"
"4RVxiI1NTatKLLLOm7OYxjKoqPo0BOVg","2025-12-18 02:43:03","renewTLD","","","slybris"
"kaVB6ldXjNSvF471ENxPExmrHYaquLac","2025-12-18 02:43:03","renewTLD","","","funnycrypto"
"xrZvTqdDgRXWpxvsJFWlLJaAdj4Xd7WE","2025-12-18 02:43:03","renewTLD","","","nftjail"
"bKbsRTOxI2lTsxEstyDRZ8cg1JHNTzxy","2025-12-18 02:43:03","renewTLD","","","contagiousabortion"
"hcf36eLwfOwMMzPDvzs4vaZF9PCoVQvk","2025-12-18 02:43:03","renewTLD","","","mooctochina"
"EkfDxVc09sjXpNb6HaMm2Hk5umuDgXJd","2025-12-18 02:43:03","renewTLD","","","lunarphase"
"HtbnncSwtU3qFykFoYKFZiWB9AySYXiW","2025-12-18 02:43:03","renewTLD","","","xn--chq2c4jaa705e"
"Des0OPn1TA5NujRCmWWXFLXKOBPABPFI","2025-12-18 02:43:03","renewTLD","","","awesomemaxim"
"M0PB0N1HbPpGOinZWBxk5vUYk0hMa6Hj","2025-12-18 02:43:03","renewTLD","","","ruincrypto"
"xmi5zX4QOBWFvrhD3kHK5IBfx9YbKODM","2025-12-18 02:43:03","renewTLD","","","wafflings"
"Q57dLImUQkq8CNa652Kswd0ShoJinypv","2025-12-18 02:43:03","renewTLD","","","xn--4gq537o9vbc6b"
"JndqNawhDwuIHzwQmqDDIOPhRdwJEvjl","2025-12-18 02:43:02","renewTLD","","","healthdocs"
"FJH8BZxvFCGMJVYXbEp44gOn7U7ApNPy","2025-12-18 02:43:02","renewTLD","","","gelded"
"hMn81NbwiNnCjoR0mORKGkBY3tcmVAhg","2025-12-18 02:43:02","renewTLD","","","no-mad"
"CF3GgLh5YEekAcuUd8jjJYpQwNFwtzn2","2025-12-18 02:43:02","renewTLD","","","thrillbox"
"ASeXLxEc3DjsUlc1PcnI0uVJHsEsqmUK","2025-12-18 02:43:02","renewTLD","","","xn--rsss09j"
"PY16Q7xEXT1f2Tupz2PTqXVvvF4cpJ6b","2025-12-18 02:43:02","renewTLD","","","monkeyyoga"
"ABVaBODtjOVjKmtRSvVoRBeYUzkorHLy","2025-12-18 02:43:02","renewTLD","","","nftsilo"
"oe9WzdWohZOW9whZKf4ywbZWHyKaizLq","2025-12-18 02:43:02","renewTLD","","","dwarfnft"
"juYhctV1XhahEXilbr5Rk2nBauRYGYuS","2025-12-18 02:43:02","renewTLD","","","xn--gmq182bese"
"dxwK6eNodl8jTsG2ZCS4lnVe4xYkky5B","2025-12-18 02:43:02","renewTLD","","","xn--qn8h4ik0a"
"K7pnp4VIdbAM92BaXSNvLykj4e1gZLPa","2025-12-18 02:43:02","renewTLD","","","crewnow"
